mark,morp,morp_descn,convert_morp
0,M8442/1,"浆液性囊腺瘤，交界性恶性C56.9
浆液性瘤NOS，潜在低度恶性/不典型增生性C56.9
交界恶性的浆液性乳头状囊腺瘤C56.9
潜在低度恶性/不典型增生性乳头状浆液性瘤C56.9
交界恶性的浆液性表面乳头状瘤C56.9",
0,M8443/0,透明细胞囊腺瘤C56.9,
3,M8444/1,交界恶性的透明细胞囊性瘤C56.9；不典型增生性透明细胞瘤C56.9,M8443/0
1,M844-849,囊性、粘液性和浆液性肿瘤,
0,M8450/0,乳头状囊腺（纤维）瘤NOS C56.9,
0,M8450/3,乳头状囊腺癌NOS C56.9,
0,M8451/1,乳头状囊腺瘤，交界恶性C56.9,
0,M8452/1,"实性假乳头状瘤C25.-；实性和乳头状上皮肿瘤C25.-
乳头状囊性瘤C25.-；实性和囊性瘤C25.-",
0,M8452/3,实性假乳头状癌C25.-,
0,M8453/0,"导管内乳头状-粘液腺瘤C25.-
导管内乳头状-粘液肿瘤，伴有中/低度不典型增生C25.-",
3,M8453/1,导管内乳头状-粘液肿瘤，伴有中度不典型增生C25.-,M8453/0
0,M8453/2,"导管内乳头状-粘液癌，非侵袭性C25.- D01.7
导管内乳头状-粘液肿瘤，伴有高度不典型增生",
0,M8453/3,"导管内乳头状-粘液癌，侵袭性C25.-
导管内乳头状-粘液肿瘤，伴有浸润性癌C25.-",
0,M8454/0,房-室结的囊性瘤C38.0,
3,M8460/0,乳头状浆液性囊腺瘤NOS C56.9,M8460/2
2,M8460/2,"浆液性交界性肿瘤，微乳头变异C56.9 D07.3
浆液性癌，非浸润，低级别C56.9 D07.3",
0,M8460/3,"乳头状浆液性（囊）腺癌C56.9
微乳头状浆液性癌C56.9；低级别浆液性癌C56.9",
0,M8461/0,浆液性表面乳头状瘤C56.9,
0,M8461/3,"浆液性表面乳头状癌C56.9；高级别浆液性癌C56.9
腹膜的原发浆液性乳头状癌C48.1",
3,M8462/1,"交界恶性的浆液性乳头状囊腺瘤C56.9
潜在低度恶性/不典型增生性乳头状浆液性瘤C56.9",M8442/1
3,M8463/1,交界恶性的浆液性表面乳头状瘤C56.9,M8442/1
0,M8470/0,"（乳头状）（假）粘液性囊（腺）瘤NOS C56.9
粘液性囊性肿瘤，伴有中/低度不典型增生（上皮内瘤变）C22.-/C25.-",
3,M8470/1,粘液性囊性瘤，伴有中度不典型增生C25.-,M8470/0
0,M8470/2,"粘液性囊腺癌，非侵袭性C25.- D01.7
粘液性囊性肿瘤，伴有高度不典型增生（上皮内瘤变）C22.-/C25.- D01.5/D01.7",
0,M8470/3,"（乳头状）（假）粘液性（囊）腺癌NOS C56.9
粘液性囊性肿瘤，伴有一个相关联的侵袭性癌C25.-",
3,M8471/0,乳头状（假）粘液性囊腺瘤NOS C56.9,M8470/0
3,M8471/3,乳头状（假）粘液性囊腺癌C56.9,M8470/3
0,M8472/1,"（乳头状）（假）粘液性囊腺瘤，交界恶性C56.9
不典型增生性/潜在低度恶性的（乳头状）粘液性瘤NOS C56.9",
3,M8473/1,"乳头状（假）粘液性囊腺瘤，交界恶性C56.9
潜在低度恶性的乳头状粘液性瘤C56.9",M8472/1
2,M8474/0,浆液粘性囊腺瘤,
2,M8474/1,浆液粘性交界性肿瘤；浆液粘性肿瘤，不典型增生,
2,M8474/3,浆液性粘液癌C56.9,
0,M8480/0,粘液腺瘤,
2,M8480/1,低级别阑尾粘液性肿瘤C18.1,
0,M8480/3,"粘液（性）腺癌（另见8253/3）；腺泡腺癌，粘液性变异
胶样（腺）癌（除外肺胶样腺癌）
腹膜假粘液瘤，伴有未知的原发部位C80.9
粘液性管状和梭形细胞癌C64.9",
0,M8480/6,腹膜假粘液瘤,
0,M8481/3,产粘液性（腺）癌；分泌粘液性（腺）癌,
0,M8482/3,粘液腺癌，宫颈内膜型；粘液腺癌，宫颈内膜，胃型C53.-,
0,M8490/3,印戒细胞（腺）癌；粘着不良癌；差粘附癌,
0,M8490/6,转移性印戒细胞癌；克鲁肯贝（格克鲁肯伯格/Krukenberg）瘤,
0,M8500/2,"导管内（腺）癌，非浸润性NOS
导管原位癌(DCIS) NOS C50.- D05.1
导管上皮内瘤变3 (DIN3) C50.- D05.1
囊性高分泌性癌（，导管内）C50.- D05.1",
0,M8500/3,"浸润性导管（腺）癌NOS C50.-；浸润性乳腺癌NOS C50.-
导管（细胞）（腺）癌NOS；乳腺基底细胞样癌C50.-
男性乳腺癌C50.-；乳腺型腺癌；肛门生殖器乳腺样腺癌",
0,M8501/2,"粉刺癌，非浸润性C50.- D05.1
导管原位癌(DCIS)，粉刺型C50.- D05.1",
0,M8501/3,粉刺癌NOS,
0,M8502/3,乳腺的分泌性/少年型癌C50.-,
0,M8503/0,"导管（内）乳头状瘤/腺瘤NOS
导管内（管状）乳头状瘤，伴有低/中级别上皮内瘤变C22.-/C24.0
囊内乳头状瘤，伴有低/中级别上皮内瘤变C23.9
腺体内乳头状瘤，伴有低级别上皮内瘤变C22.1/C24.0",
0,M8503/2,"非浸润性导管内乳头状（腺）癌C50.- D05.1
导管内乳头状（腺）癌NOS C50.- D05.1
导管原位癌(DCIS)，乳头状C50.- D05.1
导管内乳头状瘤，伴有导管原位癌(DCIS) C50.- D05.1
导管内（管状）乳头状瘤，伴有高级别上皮内瘤变（不典型增生） 
囊内乳头状瘤，伴有高级别上皮内瘤变（不典型增生）C23.9 D01.5",
0,M8503/3,"导管内乳头状腺癌，伴有侵袭性C50.-
浸润性（和）乳头状腺癌
导管内乳头状肿瘤，伴有浸润性癌
囊内乳头状瘤，伴有浸润性癌C23.9",
0,M8504/0,囊内乳头状（腺）瘤,
0,M8504/2,"非浸润性囊内癌；包膜性乳头状癌（除外甲状腺的）
囊状乳头状癌；囊内（乳头状）（腺）癌",
4,M8504/3,"浸润性包膜性乳头状癌
浸润性囊内（乳头状）（腺）癌",M8504/2
0,M8505/0,（弥漫性）导管内乳头状瘤病NOS,
0,M8506/0,乳头的腺瘤C50.0；乳晕下导管乳头状瘤病C50.0,
0,M8507/2,"导管内微乳头状癌C50.0 D05.1
导管原位癌，微乳头状C50.0 D05.1
导管内癌，粘性，高级别C50.0 D05.1",
2,M8507/3,乳腺（浸润性）微乳头状癌C50.-,
3,M8508/3,囊性分泌亢进性癌C50.0,M8500/2
1,M850-854,导管性、小叶性和髓样肿瘤,
2,M8509/2,"原位实性乳头状癌C50.- D05.1
内分泌粘液生成性汗腺原位癌C44.- D04.-",
2,M8509/3,"浸润性实性乳头状癌C50.-
内分泌粘液生成性汗腺癌C44.-",
0,M8510/3,髓样（腺）癌NOS,
0,M8512/3,髓性癌，伴有淋巴样间质[观察],
0,M8513/3,非典型性髓样癌C50.-,
0,M8514/3,导管癌，促结缔组织增生型（除外甲状腺8345/3）,
2,M8519/2,小叶原位癌(LCIS)，多形性C50.- D05.0,
0,M8520/2,"小叶原位癌(LCIS)，经典型/NOS C50.- D05.0
小叶癌，非浸润性C50.- D05.0
导管内乳头状瘤，伴有小叶原位癌C50.- D05.0",
0,M8520/3,（浸润性）小叶（腺）癌NOS C50.-；小管小叶癌,
0,M8521/3,浸润性小管癌C50.-,
0,M8522/2,导管内癌和小叶原位癌C50.- D05.7,
2,M8522/3,"（浸润性）导管和小叶癌C50.-
导管内癌和小叶癌C50.-
浸润性导管和小叶原位癌C50.-
浸润性小叶癌和导管原位癌C50.-",
0,M8523/3,浸润性导管合并其他型癌C50.-；浸润性导管和筛状/粘液/管状/胶样癌C50.-,
0,M8524/3,浸润性小叶合并其他型癌C50.-,
0,M8525/3,多形性低度腺癌；终末导管腺癌,
0,M8530/3,炎性（腺）癌C50.-,
0,M8540/3,佩吉特（帕哲/Paget）病，乳房C50.-；湿疹样癌,
0,M8541/3,乳房的佩吉特（帕哲/Paget）病和浸润性导管癌C50.-,
0,M8542/3,乳房以外的佩吉特（帕哲/Paget）病（除外骨的佩吉特病）,
0,M8543/3,乳房的佩吉特（帕哲/Paget）病和导管内癌C50.-,
1,M855,腺泡细胞肿瘤,
0,M8550/0,腺泡（细胞）腺瘤,
0,M8550/1,腺泡细胞瘤[观察],
0,M8550/3,腺泡（细胞）（腺）癌（除外肺或前列腺的腺泡腺癌）,
0,M8551/3,腺泡细胞囊腺癌；肺腺泡腺癌C34.-,
0,M8552/3,混合性腺泡-导管癌,
0,M8560/0,混合性鳞状细胞和腺状乳头状瘤；管状鳞状息肉,
0,M8560/3,"腺鳞癌；混合性腺癌和鳞状细胞/表皮样癌
鳞状小汗腺导管癌C44.-",
0,M8561/0,"腺淋巴瘤C07.-/C08.-
沃辛（华尔辛/Warthin）瘤C07.-/C08.-
淋巴瘤性乳头状囊腺瘤C07.-/C08.-",
0,M8562/3,上皮-肌上皮癌,
2,M8563/0,淋巴腺瘤,
1,M856-857,复合上皮性肿瘤,
0,M8570/3,"腺癌，伴有鳞状上皮化生；腺棘皮癌
子宫内膜样癌，伴有鳞状分化",
0,M8571/3,腺癌，伴有软骨及/或骨化生,
0,M8572/3,"腺癌，伴有梭形细胞化生
腺泡腺癌，肉瘤样变异；纤维瘤病样化生性癌",
0,M8573/3,（腺）癌，伴有顶泌腺（大汗腺）化生,
0,M8574/3,"（腺）癌，伴有神经内分泌化生
腺癌，伴有神经内分泌癌",
0,M8575/3,化生性（间变性）癌NOS,
0,M8576/3,肝细胞样（腺）癌,
1,M858,胸腺上皮肿瘤,
0,M8580/0,胸腺瘤，良性C37.9；微小胸腺瘤C37.9,
4,M8580/1,微小结节性胸腺瘤，伴有淋巴样基质C37.9,M8580/3
0,M8580/3,"胸腺瘤NOS C37.9；化生性（间变性）胸腺瘤C37.9
肺内胸腺瘤C34.-；硬化性胸腺瘤C34.-",
3,M8581/1,胸腺瘤，A型/梭形细胞/髓性NOS C37.9,M8581/3
0,M8581/3,胸腺瘤，A型/梭形细胞/髓性C37.9,
3,M8582/1,胸腺瘤，AB型/混合型NOS C37.9,M8582/3
0,M8582/3,胸腺瘤，AB型/混合型C37.9,
3,M8583/1,"胸腺瘤，B1型/（富）淋巴细胞（性）NOS C37.9
胸腺瘤，以皮层为主/类器官NOS C37.9",M8583/3
0,M8583/3,"胸腺瘤，B1型/（富）淋巴细胞（性）C37.9
胸腺瘤，以皮层为主/类器官C37.9",
3,M8584/1,胸腺瘤，B2型/皮层NOS C37.9,M8584/3
0,M8584/3,胸腺瘤，B2型/皮层C37.9,
3,M8585/1,胸腺瘤，B3型/上皮性/非典型NOS C37.9,M8585/3
0,M8585/3,胸腺瘤，B3型/上皮性/非典型C37.9；高分化胸腺癌C37.9,
0,M8586/3,胸腺癌NOS C37.9；胸腺瘤，C型C37.9,
0,M8587/0,异位错构瘤性胸腺瘤,
0,M8588/3,梭形上皮性瘤，伴有胸腺样成分/分化(SETTLE),
0,M8589/3,癌，表现出胸腺样成分/分化(CASTLE)；甲状腺内胸腺癌,
2,M8590/0,性索-间质瘤，良性；印戒样间质瘤；微囊性间质瘤,
0,M8590/1,"（性索-）性腺间质瘤/性索瘤NOS
睾丸间质瘤C62.-；卵巢间质瘤C56.9
性索-间质瘤NOS；类似卵巢性索瘤的子宫肿瘤",
0,M8591/1,性索-性腺间质瘤，不完全分化/NOS,
0,M8592/1,性索-性腺间质瘤，混合型,
0,M8593/1,间质瘤，伴有小性索成分C56.9,
2,M8594/1,混合性生殖细胞-性索-间质瘤，未分类/NOS,
1,M859-867,特殊的性腺肿瘤,
0,M8600/0,泡膜细胞瘤NOS C56.9,
0,M8600/3,泡膜细胞瘤，恶性C56.9,
0,M8601/0,泡膜细胞瘤，黄体化C56.9,
0,M8602/0,硬化性间质瘤C56.9,
0,M8610/0,黄体瘤NOS C56.9,
4,M8620/1,"粒层细胞（卵泡细胞）瘤，睾丸成人型C62.- 
睾丸粒层细胞（卵泡细胞）瘤，NOS C62.-",M8620/3
0,M8620/3,"粒层细胞（卵泡细胞）癌C56.9
粒层细胞（卵泡细胞）瘤，肉瘤样C56.9 
粒层细胞（卵泡细胞）瘤，成人型/NOS C56.9",
0,M8621/1,粒层细胞（卵泡细胞）-泡膜细胞瘤C56.9,
2,M8622/0,睾丸的粒层细胞（卵泡细胞）瘤，少年型C62.-,
0,M8622/1,粒层细胞（卵泡细胞）瘤，少年型C56.9,
0,M8623/1,性索瘤，伴有环状小管C56.9（除外睾丸的8622/0）,
0,M8630/0,（卵巢）男性母细胞瘤，良性,
0,M8630/1,（卵巢）男性母细胞瘤NOS,
0,M8630/3,（卵巢）男性母细胞瘤，恶性,
0,M8631/0,（睾丸）支持-间质细胞瘤，[赛尔托利(Sertoli)-莱迪(Leydig)细胞瘤]，高分化,
0,M8631/1,（睾丸）支持-间质细胞瘤，中分化/NOS,
0,M8631/3,（睾丸）支持-间质细胞瘤，低分化/肉瘤样,
0,M8632/1,两性母细胞瘤C56.9,
0,M8633/1,（睾丸）支持-间质细胞瘤，网状,
0,M8634/1,（睾丸）支持-间质细胞瘤，中分化/网状，伴有异种成分,
0,M8634/3,（睾丸）支持-间质细胞瘤，低分化，伴有异种成分,
0,M8640/1,"（睾丸）支持细胞瘤NOS；皮克(Pick)管状腺瘤
小管状男性母细胞瘤NOS",
0,M8640/3,（睾丸）支持细胞癌C62.-,
0,M8641/0,"（睾丸）支持细胞瘤，伴有脂质贮积；脂质卵泡瘤C56.9
富脂质（睾丸）支持细胞瘤C56.9
小管状男性母细胞瘤，伴有脂质贮积C56.9",
0,M8642/1,大细胞钙化性（睾丸）支持细胞癌,
2,M8643/1,小管内大细胞透明化支持细胞瘤,
0,M8650/0,卵巢的（睾丸）间质细胞[莱迪(Leydig)细胞]瘤NOS C56.9,
0,M8650/1,（睾丸）间质细胞瘤NOS C62.-,
0,M8650/3,（睾丸）间质细胞瘤，恶性C62.-,
0,M8660/0,（卵巢）门细胞瘤C56.9,
0,M8670/0,（男化）卵巢（脂质细胞）瘤C56.9；类固醇细胞瘤NOS,
0,M8670/3,类固醇细胞瘤，恶性,
0,M8671/0,肾上腺剩余瘤C56.9,
3,M8680/0,副神经节瘤，良性,M8680/3
3,M8680/1,副神经节瘤NOS,M8680/3
0,M8680/3,副神经节瘤NOS,
3,M8681/1,交感神经副神经节瘤,M8681/3
2,M8681/3,交感神经副神经节瘤,
3,M8682/1,副交感神经副神经节瘤,M8682/3
2,M8682/3,副交感神经副神经节瘤,
0,M8683/0,神经节细胞性副神经节瘤C17.0,
1,M868-871,副神经节瘤和血管球瘤,
3,M8690/1,颈静脉球瘤NOS C75.5；颈静脉（鼓室）副神经节瘤C75.5,M8690/3
2,M8690/3,颈静脉球瘤NOS C75.5；颈静脉（鼓室）副神经节瘤C75.5,
3,M8691/1,"主动脉体（副神经节）瘤C75.5
主动脉肺动脉副神经节瘤C75.5",M8691/3
2,M8691/3,"主动脉体（副神经节）瘤C75.5
主动脉肺动脉副神经节瘤C75.5",
3,M8692/1,颈动脉体（副神经节）瘤C75.4,M8692/3
2,M8692/3,颈动脉体（副神经节）瘤C75.4,
3,M8693/1,肾上腺外/非嗜铬性副神经节瘤NOS；化学感受器瘤,M8693/3
0,M8693/3,"肾上腺外/非嗜铬性副神经节瘤NOS
化学感受器瘤；复合性副神经节瘤",
3,M8700/0,"（肾上腺髓性）嗜铬细胞瘤NOS C74.1
嗜铬（性）（细胞）（副神经节）瘤",M8700/3
0,M8700/3,"（复合性）嗜铬细胞瘤NOS C74.1
嗜铬母细胞瘤C74.1
肾上腺髓质副神经节瘤C74.1；嗜铬细胞副神经节瘤",
0,M8710/3,血管球（状）肉瘤,
0,M8711/0,血管球瘤NOS,
2,M8711/1,血管球瘤病；恶性潜能未明的血管球瘤,
0,M8711/3,血管球瘤，恶性,
0,M8712/0,血管球性血管瘤,
0,M8713/0,血管球肌瘤,
2,M8714/0,"血管周上皮样肿瘤，良性
血管周细胞瘤(PEComa)，良性",
2,M8714/3,"血管周上皮样肿瘤，恶性
血管周细胞瘤(PEComa)，恶性",
0,M8720/0,"（色素/毛/黑素细胞/斑/深穿透/混合）痣NOS C44.-
梅尔森(Meyerson)痣C44.-；生殖器痣；结膜痣C69.0",
0,M8720/2,原位黑色素瘤,
0,M8720/3,"（恶性）黑色素瘤（除外少年性黑色素瘤8770/0）
痣样黑色素瘤C44.-",
0,M8721/3,结节性黑色素瘤C44.-,
0,M8722/0,气球细胞痣C44.-,
0,M8722/3,气球细胞黑色素瘤C44.-,
0,M8723/0,晕状痣C44.-；退行性痣C44.-,
0,M8723/3,恶性黑色素瘤，退行性C44.-,
0,M8725/0,神经痣C44.-,
0,M8726/0,"巨细胞痣C69.4；黑色素细胞瘤，眼球C69.4
黑色素细胞瘤NOS（另见8780/1）",
0,M8727/0,不典型增生痣C44.-,
0,M8728/0,（弥漫性/脑膜）黑色素细胞增多症C70.9,
0,M8728/1,脑膜黑色素细胞瘤C70.9,
0,M8728/3,脑膜黑色素瘤病C70.9,
1,M872-879,痣和黑色素瘤,
0,M8730/0,无色素痣C44.-,
0,M8730/3,无色素性黑色素瘤C44.-,
0,M8740/0,交界痣C44.-；表皮内痣NOS C44.-,
0,M8740/3,交界痣内的恶性黑色素瘤C44.-,
0,M8741/2,癌前期黑变病NOS C44.- D03.-,
0,M8741/3,癌前期黑变病内的恶性黑色素瘤C44.-,
2,M8742/0,雀斑黑变病痣C44.-；单纯性雀斑,
0,M8742/2,"恶性小痣C44.- D03.-
哈奇森（赫钦生/Hutchinson）黑色素雀斑NOS C44.- D03.-",
0,M8742/3,恶性小痣黑色素瘤C44.-；哈奇森（赫钦生/Hutchinson）黑色素雀斑内的恶性黑色素瘤C44.-,
0,M8743/3,"表面扩散性黑色素瘤C44.-
低累积性日光损伤黑色素瘤C44.-",
2,M8744/0,肢端痣C44.-,
0,M8744/3,肢端（着色斑性）黑色素瘤，恶性C44.-,
0,M8745/3,促结缔组织增生/亲神经性黑色素瘤，恶性/无色素性C44.-,
0,M8746/3,粘膜着色斑性黑色素瘤,
0,M8750/0,皮内痣C44.-；（真）皮痣C44.-；基质痣,
0,M8760/0,复合痣C44.-；（真）皮和表皮痣C44.-,
0,M8761/0,先天性痣C44.-,
0,M8761/1,"巨大色素痣NOS C44.-
中等和巨大先天性痣NOS C44.-",
0,M8761/3,（巨大/先天性）色素痣内的恶性黑瘤C44.-,
0,M8762/1,先天性痣内的增生型结节/皮肤损害C44.-,
0,M8770/0,"梭形和上皮样细胞(Spitz)痣，非典型/NOS C44.-
少年痣C44.-；少年性黑色素瘤C44.-
里德(Reed)色素沉着性梭形细胞痣C44.-
色素沉着性梭形和上皮样细胞(Spitz)痣C44.-",
0,M8770/3,"（混合性）梭形和上皮样细胞(Spitz)黑色素瘤
恶性梭形和上皮样细胞(Spitz)肿瘤C44.-",
0,M8771/0,上皮样细胞痣C44.-,
0,M8771/3,上皮样细胞黑色素瘤,
0,M8772/0,梭形细胞痣NOS C44.-,
0,M8772/3,梭形细胞黑色素瘤NOS,
0,M8773/3,梭形细胞黑色素瘤，A型C69.-,
0,M8774/3,梭形细胞黑色素瘤，B型C69.-,
0,M8780/0,蓝痣NOS C44.-；亚达佐思(Jadassohn)蓝痣C44.-,
2,M8780/1,"色素沉着性上皮样黑色素细胞瘤C44.-
蓝痣，上皮样C44.-",
0,M8780/3,蓝痣，恶性C44.-；蓝痣内黑色素瘤C44.-,
0,M8790/0,细胞性蓝痣C44.-,
1,M880,软组织瘤和肉瘤NOS,
0,M8800/0,软组织瘤，良性,
0,M8800/3,（软组织）肉瘤NOS；软组织瘤/间叶瘤，恶性,
0,M8800/9,肉瘤病NOS,
0,M8801/3,梭形细胞肉瘤（，未分化）,
2,M8802/1,多形性透明化血管扩张性肿瘤,
0,M8802/3,"巨细胞肉瘤（除外骨的9250/3）；多形性肉瘤
多形细胞肉瘤（，未分化）；多形性真皮肉瘤C44.-",
0,M8803/3,小细胞/圆形细胞肉瘤（，未分化）,
0,M8804/3,上皮样（细胞）肉瘤（，未分化）,
0,M8805/3,未分化肉瘤,
0,M8806/3,促结缔组织增生性小圆细胞瘤,
0,M8810/0,"（加德纳(Gardner)/颈部/胶原）纤维瘤NOS
促结缔组织增生性纤维母细胞瘤
斑块状CD34阳性真皮纤维瘤",
0,M8810/1,细胞性纤维瘤C56.9,
0,M8810/3,纤维肉瘤NOS,
0,M8811/0,粘液（样）纤维瘤NOS；丛状/肢端纤维粘液瘤,
2,M8811/1,"粘液炎性纤维母细胞肉瘤；含铁血黄素的纤维脂肪瘤
非典型性粘液炎性纤维母细胞瘤",
0,M8811/3,（粘液）纤维肉瘤,
0,M8812/0,骨膜纤维瘤C40.-/C41.-,
0,M8812/3,骨膜（纤维）肉瘤NOS C40.-/C41.-,
0,M8813/0,筋膜/腱鞘纤维瘤,
2,M8813/1,手掌型/足底型/浅表性纤维瘤病,
0,M8813/3,筋膜纤维肉瘤,
0,M8814/3,婴儿/先天性纤维肉瘤,
4,M8815/0,"孤立性纤维瘤/血管外皮细胞瘤，1级
血管外皮细胞瘤，良性",M8815/1
2,M8815/1,"孤立/局限性纤维瘤NOS
孤立性纤维瘤/血管外皮细胞瘤，2级
血管外皮细胞瘤NOS
血管外皮细胞性脑膜瘤[观察]C70.-",
0,M8815/3,"孤立性纤维性瘤，恶性
孤立性纤维瘤/血管外皮细胞瘤，3级
血管外皮细胞瘤，恶性",
2,M8816/0,钙化腱膜纤维瘤,
2,M8817/0,钙化性纤维性肿瘤,
2,M8818/0,纤维性不典型增生,
1,M881-883,纤维瘤性肿瘤,
0,M8820/0,弹力纤维瘤,
0,M8821/1,侵袭性纤维瘤（病）；（腹腔）硬纤维瘤NOS,
0,M8822/1,"腹部（外）（硬）纤维瘤（病）
肠系膜纤维瘤病C48.1；腹膜后纤维瘤病C48.0",
4,M8823/0,硬化性纤维瘤,M8823/1
2,M8823/1,促结缔组织增生性纤维瘤,
0,M8824/0,肌纤维瘤；肌性血管周细胞瘤,
0,M8824/1,肌/婴儿性纤维瘤病；先天性全身性纤维瘤病,
0,M8825/0,肌纤维母细胞瘤,
0,M8825/1,肌/炎性纤维母细胞性瘤NOS,
2,M8825/3,肌纤维母细胞肉瘤,
0,M8826/0,血管肌纤维母细胞瘤,
0,M8827/1,（先天性）支气管周肌纤维母细胞性瘤C34.-,
2,M8828/0,结节性/增殖性筋膜炎；增殖性肌炎,
0,M8830/0,"（良性/上皮样）纤维组织细胞瘤NOS
纤维黄瘤；黄色纤维瘤",
0,M8830/1,非典型性纤维（组织细胞/黄）瘤,
0,M8830/3,"恶性纤维（组织细胞/黄）瘤
未分化的高级别多形性骨肉瘤C40.-/C41.-",
0,M8831/0,（深部/少年/网状）组织细胞瘤NOS,
0,M8832/0,（豆状核）皮肤纤维瘤NOS C44.-；硬化性血管瘤C44.-；皮肤组织细胞瘤NOS C44.-；皮下结节性纤维化瘤C44.-；多形性纤维瘤C44.-；硬化性肺泡细胞瘤C34.-,
2,M8832/1,（隆凸性）皮肤纤维肉瘤NOS C44.-,
4,M8832/3,隆凸性皮肤纤维肉瘤，肉瘤样C44.-,M8832/1
2,M8833/1,"色素性隆凸性皮肤纤维肉瘤C44.-
贝德纳尔（贝德那/Bednar）瘤C44.-",
3,M8833/3,"色素性隆凸性皮肤纤维肉瘤C44.-
贝德纳尔（贝德那/Bednar）瘤C44.-",M8833/1
0,M8834/1,巨细胞纤维母细胞瘤,
0,M8835/1,丛状纤维组织细胞性瘤,
0,M8836/1,血管瘤样纤维组织细胞瘤,
1,M884,粘液瘤性肿瘤,
0,M8840/0,粘液瘤NOS,
0,M8840/3,"粘液肉瘤；低级别纤维粘液样肉瘤
硬化性上皮样纤维肉瘤",
2,M8841/0,（侵袭性/浅表性）血管粘液瘤NOS,
3,M8841/1,（侵袭性）血管粘液瘤,M8841/0
0,M8842/0,骨化纤维粘液样瘤,
2,M8842/3,"恶性骨化性纤维粘液样肿瘤
肺粘液样肉瘤，伴有EWSR1-CREB1易位C34.-",
0,M8850/0,脂肪瘤NOS；胸腺脂肪瘤C37.9,
0,M8850/1,非典型脂肪瘤；浅表性（软组织）高分化脂肪肉瘤,
0,M8850/3,（纤维）脂肪肉瘤NOS,
0,M8851/0,纤维脂肪瘤,
2,M8851/1,脂肪纤维瘤病,
0,M8851/3,脂肪肉瘤，高/已分化/脂肪瘤样；硬化性/炎性脂肪肉瘤,
0,M8852/0,（纤维）粘液脂肪瘤,
0,M8852/3,粘液（样）脂肪肉瘤,
0,M8853/3,圆细胞脂肪肉瘤[观察]（另见8852/3）,
0,M8854/0,多形性脂肪瘤[观察],
0,M8854/3,多形性脂肪肉瘤,
0,M8855/3,混合性脂肪肉瘤,
0,M8856/0,肌内脂肪瘤；渗透性（血管）脂肪瘤,
0,M8857/0,梭形细胞脂肪瘤,
0,M8857/3,纤维母细胞性脂肪肉瘤,
0,M8858/3,去分化性/反分化性脂肪肉瘤,
1,M885-888,脂肪瘤性肿瘤,
0,M8860/0,血管平滑肌脂肪瘤,
2,M8860/1,血管平滑肌脂肪瘤，上皮样,
0,M8861/0,血管脂肪瘤NOS,
0,M8862/0,软骨样脂肪瘤,
0,M8870/0,髓性脂肪瘤，髓脂瘤,
0,M8880/0,蛰伏脂瘤[冬眠瘤]；胎儿脂肪细胞瘤；棕色脂肪瘤,
0,M8881/0,脂肪母细胞瘤（病）；胎儿脂肪瘤（病）NOS,
0,M8890/0,"（丛状/脂肪）平滑肌（纤维）/纤维肌瘤NOS
子宫（平滑）肌瘤C55.9
平滑肌瘤，发红的/水肿的/绒毛叶状/多分叶状",
0,M8890/1,（血管内/静脉内/腹膜播散性）平滑肌瘤病NOS,
0,M8890/3,平滑肌肉瘤NOS,
0,M8891/0,（上皮样）平滑肌（母细胞）瘤（除外皮肤C44.-）,
0,M8891/3,上皮样平滑肌肉瘤,
0,M8892/0,细胞性平滑肌瘤,
0,M8893/0,奇异/共质体/非典型/多形性平滑肌瘤,
0,M8894/0,血管（平滑）肌瘤,
0,M8894/3,血管肌肉瘤,
0,M8895/0,肌瘤,
0,M8895/3,肌肉瘤,
2,M8896/0,粘液样平滑肌瘤,
0,M8896/3,粘液样平滑肌肉瘤,
0,M8897/1,（潜在恶性未肯定的/不典型的/皮肤的）平滑肌瘤NOS,
0,M8898/1,转移性平滑肌瘤,
1,M889-892,肌瘤性肿瘤,
0,M8900/0,横纹肌瘤NOS,
0,M8900/3,横纹肌肉瘤NOS,
0,M8901/3,多形性横纹肌肉瘤，成人型/NOS,
0,M8902/3,混合性横纹肌肉瘤；混合胚胎型和腺泡型横纹肌肉瘤,
0,M8903/0,胚胎型横纹肌瘤,
0,M8904/0,成人/糖原性横纹肌瘤,
0,M8905/0,生殖器横纹肌瘤C51.-/C52.9,
0,M8910/3,胚胎型横纹肌肉瘤，多形性/NOS；葡萄状肉瘤,
0,M8912/3,梭形细胞/硬化型横纹肌肉瘤,
0,M8920/3,腺泡型横纹肌肉瘤,
0,M8921/3,横纹肌肉瘤，伴有神经节分化；外胚层间质瘤,
0,M8930/0,子宫内膜间质结节C54.1,
0,M8930/3,子宫内膜（间质）肉瘤，高级别/NOS C54.1,
0,M8931/3,"子宫内膜间质肉瘤，低级别C54.1
（淋巴管内）间质性子宫内膜异位症C54.1",
0,M8932/0,（非典型性息肉样）腺肌瘤,
0,M8933/3,腺肉瘤,
0,M8934/3,癌性纤维瘤,
0,M8935/0,间质性瘤，良性,
0,M8935/1,"间质性瘤，潜在恶性未肯定/NOS
胚胎后肾间质性瘤C64.9",
0,M8935/3,间质性肉瘤NOS,
3,M8936/0,胃肠道间质性瘤(GIST)，良性,M8936/3
3,M8936/1,"胃肠道间质性瘤(GIST)，潜在恶性未肯定/NOS
胃肠道自主神经瘤(GANT)；胃肠道起搏细胞瘤",M8936/3
0,M8936/3,"胃肠道间质性（肉）瘤(GIST)
胃肠道自主神经瘤(GANT)；胃肠道起搏细胞瘤",
