topo,b3,b6,b2,b0,b1,b11,m3,m2,mes3,kap3
C67.4,C67.4,C79.1,D09.0,D30.3,D41.4,D41.4,C67.4,D09.0,C45.7,C46.7
C67.5,C67.5,C79.1,D09.0,D30.3,D41.4,D41.4,C67.5,D09.0,C45.7,C46.7
C67.6,C67.6,C79.1,D09.0,D30.3,D41.4,D41.4,C67.6,D09.0,C45.7,C46.7
C67.7,C67.7,C79.1,D09.0,D30.3,D41.4,D41.4,C67.7,D09.0,C45.7,C46.7
C67.8,C67.8,C79.1,D09.0,D30.3,D41.4,D41.4,C67.8,D09.0,C45.7,C46.7
C67.9,C67.9,C79.1,D09.0,D30.3,D41.4,D41.4,C67.9,D09.0,C45.7,C46.7
C68.0,C68.0,C79.1,D09.1,D30.4,D41.3,D41.3,C68.0,D09.1,C45.7,C46.7
C68.1,C68.1,C79.1,D09.1,D30.7,D41.7,D41.7,C68.1,D09.1,C45.7,C46.7
C68.8,C68.8,C79.1,D09.1,D30.9,D41.9,D41.9,C68.8,D09.1,C45.7,C46.7
C68.9,C68.9,C79.1,D09.1,D30.9,D41.9,D41.9,C68.9,D09.1,C45.7,C46.7
C69.0,C69.0,C79.4,D09.2,D31.0,D48.7,D48.7,C69.0,D09.2,C45.7,C46.7
C69.1,C69.1,C79.4,D09.2,D31.1,D48.7,D48.7,C69.1,D09.2,C45.7,C46.7
C69.2,C69.2,C79.4,D09.2,D31.2,D48.7,D48.7,C69.2,D09.2,C45.7,C46.7
C69.3,C69.3,C79.4,D09.2,D31.3,D48.7,D48.7,C69.3,D09.2,C45.7,C46.7
C69.4,C69.4,C79.4,D09.2,D31.4,D48.7,D48.7,C69.4,D09.2,C45.7,C46.7
C69.5,C69.5,C79.4,D09.2,D31.5,D48.7,D48.7,C69.5,D09.2,C45.7,C46.7
C69.6,C69.6,C79.4,D09.2,D31.6,D48.7,D48.7,C69.6,D09.2,C45.7,C46.7
C69.8,C69.8,C79.4,D09.2,D31.9,D48.7,D48.7,C69.8,D09.2,C45.7,C46.7
C69.9,C69.9,C79.4,D09.2,D31.9,D48.7,D48.7,C69.9,D09.2,C45.7,C46.7
C70.0,C70.0,C79.3,*,D32.0,D42.0,D42.0,C70.0,*,C45.7,C46.7
C70.1,C70.1,C79.4,*,D32.1,D42.1,D42.1,C70.1,*,C45.7,C46.7
C70.9,C70.9,C79.4,*,D32.9,D42.9,D42.9,C70.9,*,C45.7,C46.7
C71.0,C71.0,C79.3,*,D33.0,D43.0,D43.0,C71.0,*,C45.7,C46.7
C71.1,C71.1,C79.3,*,D33.0,D43.0,D43.0,C71.1,*,C45.7,C46.7
C71.2,C71.2,C79.3,*,D33.0,D43.0,D43.0,C71.2,*,C45.7,C46.7
C71.3,C71.3,C79.3,*,D33.0,D43.0,D43.0,C71.3,*,C45.7,C46.7
C71.4,C71.4,C79.3,*,D33.0,D43.0,D43.0,C71.4,*,C45.7,C46.7
C71.5,C71.5,C79.3,*,D33.0,D43.0,D43.0,C71.5,*,C45.7,C46.7
C71.6,C71.6,C79.3,*,D33.1,D43.1,D43.1,C71.6,*,C45.7,C46.7
C71.7,C71.7,C79.3,*,D33.1,D43.1,D43.1,C71.7,*,C45.7,C46.7
C71.8,C71.8,C79.3,*,D33.2,D43.2,D43.2,C71.8,*,C45.7,C46.7
C71.9,C71.9,C79.3,*,D33.2,D43.2,D43.2,C71.9,*,C45.7,C46.7
C72.0,C72.0,C79.3,*,D33.4,D43.4,D43.4,C72.0,*,C45.7,C46.7
C72.1,C72.1,C79.3,*,D33.4,D43.4,D43.4,C72.1,*,C45.7,C46.7
C72.2,C72.2,C79.4,*,D33.3,D43.3,D43.3,C72.2,*,C45.7,C46.7
C72.3,C72.3,C79.4,*,D33.3,D43.3,D43.3,C72.3,*,C45.7,C46.7
C72.4,C72.4,C79.4,*,D33.3,D43.3,D43.3,C72.4,*,C45.7,C46.7
C72.5,C72.5,C79.4,*,D33.3,D43.3,D43.3,C72.5,*,C45.7,C46.7
C72.8,C72.8,C79.4,*,D33.9,D43.9,D43.9,C72.8,*,C45.7,C46.7
C72.9,C72.9,C79.4,*,D33.9,D43.9,D43.9,C72.9,*,C45.7,C46.7
C73.9,C73,C79.8,D09.3,D34,D44.0,D44.0,C73,D09.3,C45.7,C46.7
C74.0,C74.0,C79.7,D09.3,D35.0,D44.1,D44.1,C74.0,D09.3,C45.7,C46.7
C74.1,C74.1,C79.7,D09.3,D35.0,D44.1,D44.1,C74.1,D09.3,C45.7,C46.7
C74.9,C74.9,C79.7,D09.3,D35.0,D44.1,D44.1,C74.9,D09.3,C45.7,C46.7
C75.0,C75.0,C79.8,D09.3,D35.1,D44.2,D44.2,C75.0,D09.3,C45.7,C46.7
C75.1,C75.1,C79.8,D09.3,D35.2,D44.3,D44.3,C75.1,D09.3,C45.7,C46.7
C75.2,C75.2,C79.8,D09.3,D35.3,D44.4,D44.4,C75.2,D09.3,C45.7,C46.7
C75.3,C75.3,C79.8,D09.3,D35.4,D44.5,D44.5,C75.3,D09.3,C45.7,C46.7
C75.4,C75.4,C79.8,D09.3,D35.5,D44.6,D44.6,C75.4,D09.3,C45.7,C46.7
C75.5,C75.5,C79.8,D09.3,D35.6,D44.7,D44.7,C75.5,D09.3,C45.7,C46.7
C75.8,C75.8,C79.8,D09.3,D35.8,D44.8,D44.8,C75.8,D09.3,C45.7,C46.7
C75.9,C75.9,C79.8,D09.3,D35.9,D44.9,D44.9,C75.9,D09.3,C45.7,C46.7
C76.0,C76.0,C79.8,D09.7,D36.7,D48.7,D48.7,C76.0,D09.7,C45.7,C46.7
C76.1,C76.1,C79.8,D09.7,D36.7,D48.7,D48.7,C76.1,D09.7,C45.7,C46.7
C76.2,C76.2,C79.8,D09.7,D36.7,D48.7,D48.7,C76.2,D09.7,C45.7,C46.7
C76.3,C76.3,C79.8,D09.7,D36.7,D48.7,D48.7,C76.3,D09.7,C45.7,C46.7
C76.4,C76.4,C79.8,D09.7,D36.7,D48.7,D48.7,C76.4,D09.7,C45.7,C46.7
C76.5,C76.5,C79.8,D09.7,D36.7,D48.7,D48.7,C76.5,D09.7,C45.7,C46.7
C76.7,C76.7,C79.8,D09.7,D36.7,D48.7,D48.7,C76.7,D09.7,C45.7,C46.7
C76.8,C76.8,C79.8,D09.7,D36.7,D48.7,D48.7,C76.8,D09.7,C45.7,C46.7
C77.0,#,C77.0,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C77.1,#,C77.1,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C77.2,#,C77.2,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C77.3,#,C77.3,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C77.4,#,C77.4,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C77.5,#,C77.5,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C77.8,#,C77.8,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C77.9,#,C77.9,*,D36.0,D48.7,D48.7,#,*,C45.7,C46.3
C80.9,C80,C79.8,D09.9,D36.9,D48.9,D48.9,C80,D09.9,C45.9,"C46.8, C46.9"
