morp,morp_desen,behaviour,o3site,icd10,comments
8262/2/1,Villous adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8262/3/1,Villous adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8263/2/1,Adenocarcinoma in situ in tubulovillous adenoma,In-Situ,Specific Sites,See Topo Table B Col D,
8263/3/1,Adenocarcinoma in tubulovillous adenoma,Malignant,Specific Sites,See Topo Table B Col B,
8264/3/1,"Papillomatosis, glandular, malignant (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",Not listed in ICD-O-3.2
8265/3/1,"Micropapillary carcinoma, NOS (C18_)",Malignant,"C189, All Other Sites","C18.9, See Topo Table B Col B",
8270/1/1,"Chromophobe adenoma, borderline (C751)",Borderline,"C751, All Other Sites","D44.3, See Topo Table B Col F",Not listed in ICD-O-3.2
8270/3/1,Chromophobe carcinoma (C751),Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",
8271/3/1,"Prolactinoma, malignant (C751)",Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",Not listed in ICD-O-3.2
8272/1/1,"Pituitary, borderline malignancy (C751)",Borderline,"C751, All Other Sites","D44.3, See Topo Table B Col F",Not listed in ICD-O-3.2
8272/3/1,"Pituitary carcinoma, NOS (C751)",Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",
8273/3/1,Pituitary blastoma (ICD-O-3.2 update) (C751),Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",
8280/3/1,Acidophil carcinoma (C751),Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",
8281/3/1,Mixed acidophil-basophil carcinoma (C751),Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",
8290/2/1,Oxyphillic adenocarcinoma in situ (C739),In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8290/3/1,Oxyphillic adenocarcinoma (C739),Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8300/3/1,Basophil carcinoma (C751),Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",
8310/2/1,Clear cell adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8310/3/1,"Clear cell adenocarcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8311/1/1,Hypernephroid tumor [obs] (C649),Borderline,Specific Sites,See Topo Table B Col F,
8311/3/1,Hereditary leiomyomatosis and renal cell carcinoma (HLRCC) syndrome-associated renal cell carcinoma (C649),Malignant,"C649, All Other Sites","C64, See Topo Table B Col B",
8312/2/1,Renal cell carcinoma in situ (C649),In-Situ,"C649, All Other Sites","D09.1, See Topo Table B Col D",Not listed in ICD-O-3.2
8312/3/1,Renal cell carcinoma (C649),Malignant,"C649, All Other Sites","C64, See Topo Table B Col B",
8313/1/1,"Clear cell borderline tumor (C569) (ICD-O-3 update, previously 8444/1)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8313/3/1,"Clear cell adenocarcinofibroma (C569) (ICD-O-3 update, previously 8444/3)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8314/3/1,Lipid-rich carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8315/3/1,Glycogen-rich carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8316/1/1,Multilocular cystic renal neoplasm of low malignant potential (C649) (ICD-O-3.2 update),Borderline,"C649, All Other Sites","D41.0, See Topo Table B Col F",
8316/2/1,"Cyst-associated renal cell carcinoma, in situ (C649)",In-Situ,"C649, All Other Sites","D09.1, See Topo Table B Col D",Not listed in ICD-O-3.2
8316/3/1,Cyst-associated renal cell carcinoma  (C649),Malignant,"C649, All Other Sites","C64, See Topo Table B Col B",
8317/3/1,"Renal cell carcinoma, chromophobe type (C649)",Malignant,"C649, All Other Sites","C64, See Topo Table B Col B",
8318/3/1,"Renal cell carcinoma, sarcomatoid (C649)",Malignant,"C649, All Other Sites","C64, See Topo Table B Col B",
8319/2/1,Collecting duct carcinoma in situ (C649),In-Situ,"C649, All Other Sites","D09.1, See Topo Table B Col D",Not listed in ICD-O-3.2
8319/3/1,Collecting duct carcinoma (C649),Malignant,"C649, All Other Sites","C64, See Topo Table B Col B",
8320/3/1,Granular cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8322/3/1,Water-clear cell adenocarcinoma (C750),Malignant,"C750, All Other Sites","C75.0, See Topo Table B Col B",
8323/1/1,Clear cell papillary renal cell carcinoma (C649) (ICD-O-3.2 update),Borderline,"C649, All Other Sites","D41.0, See Topo Table B Col F",
8323/2/1,Mixed cell adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8323/3/1,Mixed cell adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8325/3/1,Metanephric adenocarcinoma (C649),Malignant,"C649, All Other Sites","C64, See Topo Table B Col B",Not listed in ICD-O-3.2
8330/1/1,Atypical follicular adenoma (C739),Borderline,"C739, All Other Sites","D44.0, See Topo Table B Col F",
8330/2/1,Follicular adenocarcinoma in situ (C739),In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8330/3/1,"Follicular carcinoma, NOS (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8331/3/1,"Follicular adenocarcinoma, well differentiated (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8332/3/1,"Follicular adenocarcinoma, trabecular (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8333/3/1,Fetal adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8335/1/1,"Follicular tumor of uncertain malignant potential (C739) (ICD-O-3.2 update, previously 8335/3)",Borderline,"C739, All Other Sites","D44.0, See Topo Table B Col F",New code 2021+
8335/2/1,Macrofollicular carcinoma in situ (C739),In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8335/3/1,"Follicular carcinoma, minimally invasive (C739) (ICD-O-3.2 update, see code 8335/1)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8336/1/1,"Hyalinizing trabecular tumor (C739) (ICD-O-3.2 update, previously 8336/0)",Borderline,"C739, All Other Sites","D44.0, See Topo Table B Col F",
8337/3/1,Poor differentiated thyroid carcinoma (C739),Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8339/3/1,"Follicular carcinoma, encapsulated, angioinvasive (C739) (ICD-O-3.2 update)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8340/2/1,"Papillary carcinoma follicular variant, in situ follicular variant  (C739)",In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8340/3/1,"Papillary carcinoma, follicular variant (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8341/2/1,Papillary microcarcinoma in situ (C739),In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8341/3/1,Papillary microcarcinoma (C739),Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8342/3/1,"Papillary carcinoma, oncocytic cell (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8343/2/1,"Papillary carcinoma, encapsulated, in situ (C739)",In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8343/3/1,"Papillary carcinoma, encapsulated of thyroid (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8344/2/1,"Papillary carcinoma, columnar cell, in situ (C739)",In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8344/3/1,"Papillary carcinoma, columnar cell (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8345/2/1,"Medullary carcinoma with amyloid stroma, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8345/3/1,Medcullary thyroid carcinoma (C739),Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8346/3/1,Mixed medullary-follicular carcinoma (C739),Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8347/3/1,Mixed medullary-papillary carcinoma  (C739),Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8348/1/1,Well differentiated tumor of uncertain malignant potential (C739) (ICD-O-3.2 update),Borderline,"C739, All Other Sites","D44.0, See Topo Table B Col F",New code 2021+
8349/1/1,Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTYP) (C739) (ICD-O-3.2 update),Borderline,"C739, All Other Sites","D44.0, See Topo Table B Col F",New code 2021+
8350/3/1,Nonencapsulated sclerosing carcinoma (C739),Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8360/1/1,Multiple endocrine adenomas,Borderline,Specific Sites,See Topo Table B Col F,
8360/3/1,"Multiple endocrine adenomas, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8370/2/1,Adrenal cortical carcinoma in situ (C740),In-Situ,"C740, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8370/3/1,Adrenal cortical carcinoma (C740),Malignant,"C740, All Other Sites","C74.0, See Topo Table B Col B",
8380/1/1,"Endometrioid adenoma, borderline malignancy (C541)",Borderline,"C541, All Other Sites","D39.0, See Topo Table B Col F",
8380/2/1,Endometrioid intraepithelial neoplasia (C541),In-Situ,"C541, All Other Sites","D07.0, See Topo Table C Col D",
8380/3/1,Endometrioid carcinoma (C541),Malignant,"C541, All Other Sites","C54.1, See Topo Table B Col B",
8381/1/1,"Endometrioid adenofibroma, borderline malignancy (C541)",Borderline,"C541, All Other Sites","D39.0, See Topo Table B Col F",
8381/2/1,Endometroid adenofibroma in situ (C541),In-Situ,"C541, All Other Sites","D07.0, See Topo Table C Col D",
8381/3/1,"Endometrioid adenofibroma, malignant (C541)",Malignant,"C541, All Other Sites","C54.1, See Topo Table B Col B",
8382/2/1,"Endometrioid adenocarcinoma in situ, secretory variant  (C541)",In-Situ,"C541, All Other Sites","D07.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8382/3/1,"Endometrioid adenocarcinoma, secretory variant (C541)",Malignant,"C541, All Other Sites","C54.1, See Topo Table B Col B",
8383/3/1,"Endometrioid adenocarcinoma, ciliated cell variant (C541)",Malignant,"C541, All Other Sites","C54.1, See Topo Table B Col B",
8384/2/1,"Adenocarcinoma, endocervical type, in situ (C53_)",In-Situ,"C539, All Other Sites","D06.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8384/3/1,"Adenocarcinoma, endocervical type (C53_)",Malignant,"C539, All Other Sites","C53.9, See Topo Table B Col B",
8390/2/1,Skin appendage carcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8390/3/1,"Adnexal adenocarcinoma, NOS (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8392/3/1,Syringofibroadenocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8400/1/1,"Sweat gland tumor, NOS (C44_)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8400/2/1,Sweat gland adenocarcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8400/3/1,Sweat gland adenocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8401/2/1,Apocrine adenocarcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8401/3/1,Apocrine adenocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8402/2/1,"Nodular hidradenoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8402/3/1,Hidradenocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8403/3/1,Malignant eccrine spiradenoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8405/3/1,Papillary hidradenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8406/3/1,Syringocystadenocarcinoma papilliferum (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8407/2/1,"Sclerosing sweat duct carcinoma, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8407/3/1,Microcystic adnexal carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8408/1/1,"Aggressive digital papillary adenoma (C44_) (ICD-O-3.2 update, see code 8408/3)",Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8408/2/1,Eccrine papillary adenocarcinoma (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8408/3/1,"Digital papillary adenocarcinoma (C44_) ICD-O-3.2 update, previously 8408/1))",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8409/2/1,Porocarcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",
8409/3/1,"Porocarcinoma, NOS (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8410/2/1,Sebaceous carcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8410/3/1,Sebaceous carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8413/2/1,"Eccrine adenocarcinoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8413/3/1,Eccrine adenocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8420/3/1,Ceruminous adenocarcinoma (C442),Malignant,"C442, All Other Sites","C44.2, See Topo Table B Col B",
8430/1/1,Mucoepidermoid tumor [OBS],Borderline,Specific Sites,See Topo Table B Col F,
8430/2/1,Mucoepidermoid carcinoma in situ,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8430/3/1,Mucoepidermoid carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8440/2/1,Cystadenocarcinoma in situ,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8440/3/1,"Cystadenocarcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8441/2/1,Serous intraepithelial carcinoma (C569),In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",
8441/3/1,"Serous carcinoma, NOS (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8442/1/1,"Serous borderline tumor, NOS (C569)  (ICD-O-3 update, previously 8463/1)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8442/2/1,"Serous cystadenoma, in situ (C569)",In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8442/3/1,"Serous cystadenoma, malignant (C569) (ICD-O-3 update, 8463/3 moved to this code)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8443/3/1,Clear cell cystadenocarcinoma (C569),Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8444/1/1,"Clear cell cystic tumor of borderline malignancy (C569) (ICD-O-3.2 update, see code 8313/1)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8444/3/1,"Clear cell cystic tumor, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8450/3/1,"Papillary cystadenocarcinoma, NOS (C569)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8451/1/1,"Papillary cystadenoma, borderline malignancy (C569)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8452/1/1,Solid pseudopapillary tumor of ovary (C569) (ICD-O-3.2 update),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8452/2/1,"Solid pseudopapillary tumor, in situ (C25_)",In-Situ,"C259, All Other Sites","D01.7, See Topo Table B Col D",Not listed in ICD-O-3.2
8452/3/1,Solid pseudopapillary carcinoma of the pancreas (C25_),Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8453/2/1,Intraductal Papillary mucinous neoplasm with high grade dysplasia (C25_),In-Situ,"C259, All Other Sites","D01.7, See Topo Table B Col D",
8453/3/1,Intraductal Papillary mucinous neoplasm with an associated invasive carcinoma (C25_),Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8455/2/1,"Intraductal oncocytic papillary neoplasma, NOS (C25) (2022 update",In-Situ,"C259, All Other Sites","D01.7, See Topo Table B Col D",New code 2022+
8455/3/1,Intraductal oncocytic papillary neoplasm with associated invasive carcinoma (C25_) (2022 update),Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",New code 2022+
8460/2/1,"Serous borderine tumor, micropapillary variant (C569)",In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",
8460/3/1,Low grade serous carcinoma (C569),Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8461/2/1,"Serous surface papilloma, in situ (C569)",In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8461/3/1,Serous surface papillary carcinoma (C569),Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8462/2/1,Serous papillary cystadenocarcinoma in situ (C569),In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8462/3/1,Papillary serous cystadenocarcinoma (C569),Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8463/1/1,"Serous surface papillary tumor of borderline malignancy (C569) (ICD-O-3.2 update, see code 8442/1)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8463/3/1,Serous surface papillary carcinoma (C569),Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8470/2/1,"Mucinous cystic neoplams with high grade dysplasia (C25_) (ICD-O-3 update, now includes 8470/2)",In-Situ,"C259, All Other Sites","D01.7, See Topo Table B Col D",
8470/3/1,"Mucinous cystadenocarcinoma, NOS (C569) (ICD-O-3 update, now includes 8471/3)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8471/2/1,"Papillary mucinous cystadenoca situ, NOS (C569) (ICD-O-3.2 update, see code 8470/2)",In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",
8471/3/1,"Papillary mucinous cystadenocarcinoma (C569) (ICD-O-3.2 update, see code 8470/3)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8472/1/1,"Mucinous cystic tumor of borderline malignancy (C569) (ICD-O-3 update, 8473/1 moved to this code)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8472/2/1,"Mucinous cystic adenocarcinoma in situ (C569) (ICD-O-update, 8473/2 moved to this code)",In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",
8472/3/1,"Mucinous cystadenocarcinoma  (C569) (ICD-O-3 update, 8473/3 moved to this code)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",
8473/1/1,"Papillary mucinous cystadenoma, borderline malignancy (C569) (ICD-O-3.2 update, see code 8472/1)",Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",
8473/2/1,"Papillary mucinous cystadenoma, in situ (C569) (ICD-O-3.2 update, see code 8472/2)",In-Situ,"C569, All Other Sites","D07.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8473/3/1,"Papillary pseudomucinous cystadenocarcinoma (ICD-O-3.2 update, see code 8472/3)",Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",Not listed in ICD-O-3.2
8474/1/1,Seromucinous borderline tumor (ICD-O-3.2 update) (C569),Borderline,"C569, All Other Sites","D39.1, See Topo Table B Col F",New code 2021+
8474/2/1,"Seromucinous carcinoma, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8474/3/1,Seromucinous carcinoma (ICD-O-3.2 update) (C569),Malignant,"C569, All Other Sites","C56, See Topo Table B Col B",New code 2021+
8480/1/1,Low grade appendiceal mucinous neoplasm (C181),Borderline,"C181, All Other Sites","D37.3, See Topo Table B, Col F",
8480/2/1,Mucinous adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8480/3/1,Mucinous adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8480/6/1,Pseudomyxoma peritonei (C809),Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8481/2/1,Mucin-producing adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8481/3/1,Mucin-producing adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8482/3/1,"Mucinous adenocarcinoma, gastric type",Malignant,Specific Sites,See Topo Table B Col B,
8483/2/1,"Adenocarcinoma in situ, HPV associated (C53_) (2022 update)",In-Situ,"C539, All Other Sites","D06.9, See Topo Table B Col D",New code 2022+
8483/3/1,Adenocarcinoma-HPV associated (C53_) (2022 update),Malignant,"C539, All Other Sites","C53.9, See Topo Table B Col B",New code 2022+
8484/2/1,"Adenocarcinoma in situ, HPV independent, NOS (C53_) (2022 update)",In-Situ,"C539, All Other Sites","D06.9, See Topo Table B Col D",New code 2022+
8484/3/1,"Adenocarcinoma, HPV-independent (C53_) (2022 update)",Malignant,"C539, All Other Sites","C53.9, See Topo Table B Col B",New code 2022+
8490/2/1,Signet ring cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8490/3/1,Signet ring cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8490/6/1,Metastatic signet ring cell carcinoma,Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8500/2/1,"Intraductal carcinoma, noninfiltrating, NOS (C50_)",In-Situ,"C509, All Other Sites","D05.0, See Topo Table B Col D",
8500/3/1,"Infiltrating duct carcinoma, NOS (C50_)",Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8501/2/1,"Comedocarcinoma, noninfiltrating  (C50_)",In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",
8501/3/1,"Comedocarcinoma, NOS (C50_)",Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8502/2/1,"Secretory carcinoma of breast, in situ (C50_)",In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",Not listed in ICD-O-3.2
8502/3/1,Secretory carcinoma of breast (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8503/2/1,Noninfiltrating intraductal papillary adenocarcinoma (C50_),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",
8503/3/1,Intraductal papillary adenocarcinoma with invasion (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8504/2/1,Intracystic carcinoma (ICD-O-3.2 update),In-Situ,Specific Sites,See Topo Table B Col D,
8504/3/1,"Intracystic carcinoma, NOS (ICD-O-3.2 update, see code 8504/2)",Malignant,Specific Sites,See Topo Table B Col B,
8507/2/1,Intraductal micropapillary carcinoma (C50_),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",
8507/3/1,Invasive micropapillary carcinoma of breast (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8508/2/1,"Cystic hypersecretory carcinoma, in situ (C50_)",In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",Not listed in ICD-O-3.2
8508/3/1,Cystic hypersecretory carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8509/2/1,Solid papillary carcinoma in situ (C50_) (ICD-O-3.2 update),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",
8509/3/1,Solid papillary carcinoma with invasion (C50_) (ICD-O-3.2 update),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8510/2/1,Medullary carcinoma in situ (C739),In-Situ,"C739, All Other Sites","D09.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8510/3/1,"Medullary carcinoma, NOS (C739)",Malignant,"C739, All Other Sites","C73, See Topo Table B Col B",
8512/3/1,Medullary carcinoma with lymphoid stroma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8513/3/1,Atypical medullary carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8514/3/1,"Duct carcinoma, desmoplastic type (C50_)",Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8519/2/1,"Lobular carcinoma in situ, pleomorphic (C50_) ICD-O-3.2 update)",In-Situ,"C509, All Other Sites","D05.0, See Topo Table B Col D",New code 2021+
8520/2/1,Lobular carcinoma in situ (C50_),In-Situ,"C509, All Other Sites","D05.0, See Topo Table B Col D",
8520/3/1,"Lobular carcinoma, NOS (C50_)",Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8521/2/1,Ductular carcinoma in situ (C50_),In-Situ,"C509, All Other Sites","D05.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8521/3/1,Infiltrating ductular carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8522/2/1,Intraductal and lobular in situ carcinoma (C50_),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",
8522/3/1,Infiltrating duct and lobular carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8523/2/1,Intraductal with other types of carcinoma in situ (C50_),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",Not listed in ICD-O-3.2
8523/3/1,Infiltrating duct mixed with other types of carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8524/2/1,"Infiltrating lobular mixed with other types of carcinoma, in situ (C50_)",In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",Not listed in ICD-O-3.2
8524/3/1,Infiltrating lobular mixed with other types of carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8525/2/1,"Polymorphous low grade adenocarcinoma, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8525/3/1,Polymorphous adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8530/3/1,Inflammatory carcinoma (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8540/2/1,"Paget disease, mammary in situ (C50_)",In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",Not listed in ICD-O-3.2
8540/3/1,"Paget disease, mammary (C50_)",Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8541/2/1,Paget disease in situ and ductal carcinoma (C50_),In-Situ,"C509, All Other Sites",,Not listed in ICD-O-3.2
8541/3/1,Paget disease and infiltrating ductal carcinoma of breast (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8542/2/1,"Paget disease (in situ), extramammary (except Paget disease of bone) (C50_)",In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",Not listed in ICD-O-3.2
8542/3/1,"Paget disease, extramammary (C25_)",Malignant,"C259, All Other Sites","C25.9, All Other Sites",
8543/2/1,Paget disease in situ and intraductal carcinoma (C50_),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",Not listed in ICD-O-3.2
8543/3/1,Paget disease and intraductal carcinoma of the breast  (C50_),Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8550/1/1,Acinar cell tumor,Borderline,Specific Sites,See Topo Table B Col F,
